Date,Open,High,Low,Close,Volume
2019-09-03 07:00:00,106.2195,106.22,105.921,105.9855,7849
2019-09-03 08:00:00,105.9845,106.091,105.98,106.05,5594
2019-09-03 09:00:00,106.051,106.124,105.992,106.0375,3876
2019-09-03 10:00:00,106.0355,106.18,106.026,106.177,3582
2019-09-03 11:00:00,106.1755,106.176,106.106,106.111,3329
2019-09-03 12:00:00,106.1125,106.268,106.096,106.2575,4855
2019-09-03 13:00:00,106.2585,106.312,106.14,106.267,7716
2019-09-03 14:00:00,106.262,106.262,105.739,105.8925,13883
2019-09-03 15:00:00,105.894,105.934,105.776,105.881,7372
2019-09-03 16:00:00,105.88,105.933,105.859,105.8745,3247
2019-09-03 17:00:00,105.8755,105.938,105.868,105.9145,2415
2019-09-03 18:00:00,105.9135,106.084,105.908,106.0315,2734
2019-09-03 19:00:00,106.0325,106.073,106.016,106.054,2670
2019-09-03 20:00:00,106.0555,106.066,105.908,105.947,1297
2019-09-03 21:00:00,105.957,105.99,105.9275,105.9325,222
2019-09-03 22:00:00,105.93,105.9725,105.925,105.9595,685
2019-09-03 23:00:00,105.961,105.979,105.834,105.8535,1490
2019-09-04 00:00:00,105.8545,105.924,105.83,105.9055,3357
2019-09-04 01:00:00,105.9045,106.07,105.882,106.0495,4730
2019-09-04 02:00:00,106.0475,106.052,105.954,105.9865,2463
2019-09-04 03:00:00,105.9885,106.004,105.918,105.965,1755
2019-09-04 04:00:00,105.9635,106.056,105.964,106.0465,2428
2019-09-04 05:00:00,106.0455,106.08,106.008,106.0565,2423
2019-09-04 06:00:00,106.058,106.246,106.05,106.1645,6375
2019-09-04 07:00:00,106.163,106.258,106.12,106.2315,5957
2019-09-04 08:00:00,106.2325,106.263,106.172,106.202,4380
2019-09-04 09:00:00,106.201,106.3,106.186,106.219,4236
2019-09-04 10:00:00,106.2205,106.238,106.176,106.2255,2486
2019-09-04 11:00:00,106.224,106.254,106.2,106.2225,2507
2019-09-04 12:00:00,106.221,106.27,106.208,106.238,2684
2019-09-04 13:00:00,106.2365,106.338,106.217,106.2615,5449
2019-09-04 14:00:00,106.26,106.27,106.124,106.185,5503
2019-09-04 15:00:00,106.184,106.314,106.132,106.2895,3832
